ID,Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos_Involucrados,Heridos,Accidente _con,Heridos _SI/NO ,Muertes,Clase_Accidente
301,11/28/2023 0:00,A001602243,AVENIDA 23 CALLE 19   ATAHUALPA,ATAHUALPA,2,1,HERIDOS,1,NO APLICA,CHOQUE
302,11/29/2023 0:00,A001602244,KILOMETRO 18+850 MTS VIA ACACIAS -SAN CARLOS DE GUAROA     SANTA ROSA,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
303,12/2/2023 0:00,A006102247,CARRERA 23 N 14-30    COOPERATIVO,COOPERATIVO,2,2,HERIDOS,1,NO APLICA,CHOQUE
304,12/3/2023 0:00,A001602249,CALLE 17 N .8 -57   B/PALERMO,No registra,2,2,HERIDOS,1,NO APLICA,CHOQUE
305,12/1/2023 0:00,A001602246,CALLE 12 CARRERA 28   SAMAN,SAMAN,2,2,HERIDOS,1,NO APLICA,CHOQUE
306,12/1/2023 0:00,A001602245,CALLE 12 N 32 -54    NUTIVARA,NUTIVARA,1,1,HERIDOS,1,NO APLICA,ATROPELLO
307,12/2/2023 0:00,A001602248,CARRERA 18 CALLE  7   BALCONES DE SANTA ISABEL,BALCONES DE SANTA ISABEL,1,2,HERIDOS,1,NO APLICA,ATROPELLO
308,12/6/2023 0:00,A001602250,CALLE 15 CARRERA  29   SIN INFORMACIÓN DEL BARRIO,No registra,2,3,HERIDOS,1,NO APLICA,CHOQUE
309,12/8/2023 0:00,A001602251,CALLE 14 CARRERA 12   JUAN MELLAO,JUAN MELLAO,2,2,HERIDOS,1,NO APLICA,CHOQUE
310,12/8/2023 0:00,A001602252,CARRERA 14 CALLE  17   SAN CRISTOBAL,SAN CRISTOBAL,2,2,HERIDOS,1,NO APLICA,CHOQUE
311,12/19/2023 0:00,A001602254,CARRERA 23 CALLE  21A   LA TIZA,LA TIZA,2,2,HERIDOS,1,NO APLICA,CHOQUE
312,12/22/2023 0:00,A001602255,CARRERA 23 N .9 -15    PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,1,0,MUERTOS,0,1,CHOQUE
313,12/18/2023 0:00,A001602253,AVENIDA 23 N.27-06    DON BOSCO,DON BOSCO,3,2,HERIDOS,1,NO APLICA,CHOQUE
314,12/22/2023 0:00,A001602256,CARRERA 24 CALLE  45179 EVEREST,No registra,1,1,HERIDOS,1,NO APLICA,ATROPELLO
315,12/25/2023 0:00,A001602259,CALLE 13 CARRERA  20   COOPERATIVO,COOPERATIVO,2,1,HERIDOS,1,NO APLICA,CHOQUE
316,12/24/2023 0:00,A001602258,AVENIDA 23 CARRERA 27A  VIILA  CLAUDIA,No registra,1,1,HERIDOS,1,NO APLICA,CHOQUE
317,12/24/2023 0:00,A001602257,CARRERA 14 N. 9-103   LA UNION,LA UNION,1,1,HERIDOS,1,NO APLICA,OTRO
318,12/30/2023 0:00,A001602260,AVENIDA 23 N. 27B-30 SAIN THOMAS,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
319,12/30/2023 0:00,A001602261,CALLE 18 CARRERA 18   MANCERA,MANCERA,2,3,HERIDOS,1,NO APLICA,CHOQUE
320,1/1/2022 0:00,A001371865,CALLE 9 CARRERA  22   PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
321,1/2/2022 0:00,A001371866,CARRERA 23 CALLE  17   COOPERATIVO,COOPERATIVO,2,2,HERIDOS,1,NO APLICA,CHOQUE
322,1/3/2022 0:00,A001371867,KILOMETRO 1+700 MTS RURAL     LOMA DE TIGRE,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
323,1/5/2022 0:00,A001371868,AVENIDA 23 CARRERA  27   LOS OLIVOS,LOS OLIVOS,2,1,HERIDOS,1,NO APLICA,CHOQUE
324,1/7/2022 0:00,A001371869,CARRERA 23 # 14 53   COOPERATIVO,COOPERATIVO,4,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
325,1/16/2022 0:00,A001371872,CARRERA 23 #14 27   SAN JOSÉ,SAN JOSE,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
326,1/10/2022 0:00,A001371870,KILOMETRO 1+700 MTS     VÍA ACACÍAS-GUAMAL,VÍA ACACÍAS-GUAMAL,2,0,HERIDOS,1,NO APLICA,CHOQUE
327,1/14/2022 0:00,A001371871,CARRERA 49 CALLE 20   BRISAS DE LA COLINA,BRISAS DE LA COLINA,2,0,HERIDOS,1,NO APLICA,CHOQUE
328,1/17/2022 0:00,A001371873,KILOMETRO 15+9 MTS     VÍA ACACÍAS-DINAMARCA,VÍA ACACÍAS-DINAMARCA,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
329,1/19/2022 0:00,A001371874,CARRERA 14 CALLE 26   GUARATARA II,GUARATARA II,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
330,1/27/2022 0:00,A001371875,KILOMETRO 27+100 MTS     VÍA ACACÍAS-VILLAVICENCIO,VÍA ACACÍAS-VILLAVICENCIO,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
331,1/28/2022 0:00,A001371877,CARRERA 31 CALLE 16C   BACHUE,BACHUE,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
332,1/31/2022 0:00,A001371878,CALLE 14 CARRERA  31   BACHUE,BACHUE,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
333,1/27/2022 0:00,A001371876,CARRERA 23 # 9 74,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
334,1/8/2022 0:00,C-0088589,KILOMETRO 44+800 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
335,1/25/2022 0:00,C-001437191,KILOMETRO 46+500 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,1,HERIDOS,1,NO APLICA,CHOQUE
336,2/3/2022 0:00,A001371879,CARRERA 45 FRENTE 14 - 46,No registra,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
337,2/4/2022 0:00,A001371880,MANZANA C CASA 21   NUEVA JERUSALEN,NUEVA JERUSALEN,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
338,2/5/2022 0:00,A001371881,CARRERA 14 CALLE 17   SAN CRISTOBAL,SAN CRISTOBAL,2,2,HERIDOS,1,NO APLICA,CHOQUE
339,2/7/2022 0:00,A001371882,CARRERA 18 CON  8 INTERSECCIÓN,No registra,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
340,2/8/2022 0:00,A001371883,KILOMETRO 7+700   VÍA DINAMARCA,No registra,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
341,2/11/2022 0:00,A001371884,CARRERA 23 # 9 - 15,No registra,2,0,DA�OS MATERIALES ,0,NO APLICA,CHOQUE
342,2/12/2022 0:00,A001371885,KILOMETRO 0+500      SANTA TERESITA,No registra,2,0,MUERTOS,0,3,CHOQUE
343,2/13/2022 0:00,A001371886,CALLE 15 CARRERA 21,No registra,2,1,HERIDOS,1,NO APLICA,CHOQUE
344,2/15/2022 0:00,A001371888,KILOMETRO 0+400     VÍA ANTIGUA GUAMAL,VÍA ANTIGUA GUAMAL,1,1,MUERTOS,0,1,CHOQUE
345,2/12/2022 0:00,A001371887,CARRERA 31 # 14 - 46,No registra,2,2,HERIDOS,1,NO APLICA,ATROPELLO
346,2/17/2022 0:00,A001371889,CALLE 18 # 17 - 20 MANCERA,MANCERA,1,1,HERIDOS,1,NO APLICA,CHOQUE
